unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
10911364,JA224025,2014-08-27 16:00:00+00:00,052XX W 64TH PL,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,813,8,13,64,17,,,2014,2017-04-14 15:50:04+00:00,,,
5314785,HN175331,2003-01-01 00:00:00+00:00,063XX W HIGHLAND AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,1611,16,45,10,20,,,2003,2015-08-17 15:03:40+00:00,,,
8012339,HR479318,2009-02-27 18:52:00+00:00,044XX S PULASKI RD,2017,NARCOTICS,MANU/DELIVER:CRACK,PARKING LOT/GARAGE(NON.RESID.),True,False,821,8,14,57,18,,,2009,2015-08-17 15:03:40+00:00,,,
10321840,HY511423,2009-11-22 20:00:00+00:00,131XX S FORRESTVILLE AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,True,False,533,5,9,54,20,,,2009,2016-06-02 15:51:36+00:00,,,
10478055,HZ217039,2015-11-01 00:01:00+00:00,029XX N NATOMA AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,False,False,2511,25,36,18,10,,,2015,2018-02-09 15:44:29+00:00,,,
11336790,JB292430,2013-11-01 06:00:00+00:00,040XX S DREXEL BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,214,2,4,36,11,,,2013,2018-06-05 15:53:03+00:00,,,
11392185,JB362471,2017-11-01 00:01:00+00:00,084XX S BLACKSTONE AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,True,True,412,4,8,45,02,,,2017,2018-11-17 16:06:45+00:00,,,
11424792,JB407231,2010-01-01 00:01:00+00:00,088XX S HARPER AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,412,4,8,48,02,,,2010,2018-08-25 15:59:23+00:00,,,
11728443,JC313344,2019-06-19 16:49:00+00:00,014XX E 87TH ST,2025,NARCOTICS,POSS: HALLUCINOGENS,STREET,True,False,412,4,8,45,18,1187544.0,1847588.0,2019,2019-06-30 15:56:27+00:00,41.736874607,-87.588477131,"(41.736874607, -87.588477131)"
11737610,JC324529,2019-06-27 16:08:00+00:00,044XX W 53RD ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,STREET,False,True,815,8,23,62,04B,1147717.0,1869105.0,2019,2019-07-04 16:09:46+00:00,41.796774152,-87.733842636,"(41.796774152, -87.733842636)"
